condition,mean,p95,max,n
clean (0 ms),3.7247206487814895,4.65250866754232,4.77473729221033,40
"drifted (a=0.5 ms/frame, jitter=5.0 ms)",3.7600709547377833,4.67125106168614,4.856595522135464,40
estimated+smoothed (alpha=0.25),3.755000818750993,4.665198363234642,4.820098346840112,40
