condition,mean,p95,max,n
clean (0 ms),6.847288640340415,11.565770879203619,14.702181461035567,41
"drifted (a=0.5 ms/frame, jitter=5.0 ms)",6.847324337017122,11.563257076340145,14.700533405878819,41
estimated+smoothed (alpha=0.25),6.847186292721216,11.563140368684145,14.699868062010573,41
