sensor,threshold_ms,match_rate_pct,mean_abs_dt_ms,p95_abs_dt_ms,max_abs_dt_ms
RADAR_FRONT,50.0,100.0,18.440102564102563,35.812000000000005,36.946
RADAR_FRONT_LEFT,50.0,100.0,16.630282051282048,33.479600000000005,36.82
RADAR_FRONT_RIGHT,50.0,100.0,20.17966666666666,33.7273,36.188
RADAR_BACK_LEFT,50.0,100.0,16.84371794871795,35.284099999999995,35.484
RADAR_BACK_RIGHT,50.0,100.0,21.59405128205128,34.172799999999995,37.184
CAM_FRONT,50.0,100.0,35.331256410256415,36.541700000000006,40.141
CAM_FRONT_RIGHT,50.0,100.0,27.452948717948722,28.6627,32.262
CAM_BACK_RIGHT,50.0,100.0,19.898948717948723,21.1087,24.708
CAM_BACK,50.0,100.0,10.266153846153845,11.4767,15.076
CAM_BACK_LEFT,50.0,100.0,0.6287948717948717,1.5787000000000004,5.178
CAM_FRONT_LEFT,50.0,100.0,42.94794871794871,44.157700000000006,47.757
