Method,Total frames,Total fused objects,Objects per frame,Average hits,Median hits,Average speed (m/s),Median speed (m/s)
Baseline,39,176,4.512820512820513,1.6534090909090908,1.0,1.2543076904362966,0.13436755521332977
Degraded (-1),38,86,2.263157894736842,1.4651162790697674,1.0,1.4972944278722458,0.1786108107204777
Degraded (+1),38,90,2.3684210526315788,1.3888888888888888,1.0,1.9077111586845257,0.15084209329820797
Interpolation,37,37,1.0,3.324324324324324,3.0,2.0168722849372,2.6253441936576745
Multiframe,39,218,5.589743589743589,2.4862385321100917,2.0,1.2195650313425712,0.11971581398982689
Weighted Multiframe,39,218,5.589743589743589,2.4862385321100917,2.0,1.2174414783831053,0.11824499101396646
Motion Compensation,38,66,1.736842105263158,1.4848484848484849,1.0,1.1455015582224986,0.11158523658020435
