condition,mean,p95,max,n
clean (0 ms),6.046074540374501,9.573964429853005,11.207102870320536,41
"drifted (a=0.5 ms/frame, jitter=5.0 ms)",6.298672211782555,9.602731790805326,11.924740709305214,41
estimated+smoothed (alpha=0.25),6.106094851534078,9.60187490013965,11.924740709305214,41
