condition,mean,p95,max,n
clean (0 ms),4.951168647929766,7.8444138864888275,10.206439293295176,39
"drifted (a=0.5 ms/frame, jitter=5.0 ms)",6.712024485822651,10.7904106500061,15.027237906095309,39
estimated+smoothed (alpha=0.25),5.441937468847021,8.993047406478981,10.206439293295176,39
