condition,mean,p95,max,n
clean (0 ms),6.5143561117648074,11.643003023879496,19.67922959706693,40
"drifted (a=0.5 ms/frame, jitter=5.0 ms)",8.550264977387638,19.548395658577522,27.221337210259197,40
estimated+smoothed (alpha=0.25),8.537767402215191,19.548395658577522,27.221337210259197,40
