estimated_dx,estimated_dy,estimated_yaw_deg,matched_boxes_scene,total_hits_scene,mean_centre_distance,median_centre_distance,frames_used,score_value
-1.5,0.0,0.0,108,179,1.6885570361087994,1.4952785945951017,39,109705.57214819457
-1.25,0.0,0.0,146,239,1.6014612259037604,1.3966574483837662,39,148309.92693870483
-1.0,0.0,0.0,176,291,1.5149704526228631,1.318043075786503,39,178834.25147736885
-0.75,0.0,0.0,178,295,1.512546002210887,1.3734065740778243,39,180874.37269988944
-0.5,0.0,0.0,156,262,1.5820408110351905,1.4241775634096583,39,158540.89795944825
-0.25,0.0,0.0,147,243,1.5455976442152268,1.361617807118878,39,149352.72011778923
0.0,0.0,0.0,129,213,1.5805753448224604,1.3993191002929815,39,131050.97123275888
0.25,0.0,0.0,124,193,1.5551958285788663,1.3775573872711464,39,125852.24020857106
0.5,0.0,0.0,94,150,1.7168343567443876,1.4946077721094535,39,95414.15828216278
