Method,num_tracks,avg_track_length,median_track_length,avg_final_speed,median_final_speed
Baseline,73,5.890410958904109,5.0,1.0949542623333508,0.17957793939324423
Degraded (-1),41,5.585365853658536,5.0,1.0169054379805818,0.40024443471645543
Interpolation,18,5.055555555555555,4.0,1.2922287083909108,0.23808948775054717
Multiframe,85,6.08235294117647,5.0,1.200202543660409,0.16374132308204004
Weighted Multiframe,85,6.08235294117647,5.0,1.1836690677485573,0.1513339930742507
