condition,mean,p95,max,n
clean (0 ms),4.951168647929766,7.8444138864888275,10.206439293295176,39
corrupted (50 ms),6.714220304865418,10.73320476811833,15.111090183595607,39
estimated+smoothed (alpha=0.25),5.449394017746876,8.993047406478981,10.206439293295176,39
