condition,mean,p95,max,n
clean (0 ms),7.184728887438019,12.082907114280072,13.354345057292372,41
"drifted (a=0.5 ms/frame, jitter=5.0 ms)",12.112363444007283,19.28445257074127,20.491734108689915,41
estimated+smoothed (alpha=0.25),11.808206683266864,19.28445257074127,20.491734108689915,41
