estimated_dx,estimated_dy,estimated_yaw_deg,matched_boxes_scene,total_hits_scene,mean_centre_distance,median_centre_distance,frames_used,score_value
0.0,0.0,-5.0,144,243,1.6424405097728096,1.5230242330284147,39,146347.87797451136
0.0,0.0,-4.0,172,291,1.526716773213812,1.4277115136635632,39,174833.66416133931
0.0,0.0,-3.0,176,291,1.5149704526228633,1.3180430757865047,39,178834.25147736885
0.0,0.0,-2.0,127,218,1.5912511316429017,1.4285662768453964,39,129100.43744341786
0.0,0.0,-1.0,92,159,1.5866130767613973,1.460662560204166,39,93510.66934616193
0.0,0.0,0.0,84,141,1.5125400250531111,1.48953519746612,39,85334.37299874735
